"id";"name";"specialization";"description";"image"
1;"Zoya";"Cardiologist";"A great Cardiologist, very experianced and a highly valued proffesional";"https://cdn.discordapp.com/attachments/1292040323492745342/1292474966004203601/IMG-20241005-WA0016-removebg-preview.png?ex=6703de9c&is=67028d1c&hm=cc2a4f52f3a98e78e38490c3cdcefa8e58e42179600525e40f98513ec4ac0cec&"
2;"Salwa";"Neurologist";"A great neurologist";"https://www.shutterstock.com/image-vector/faceless-women-doctor-character-wearing-260nw-1704766723.jpg"
3;"Arina";"Cardiologist";"PHD from Oxford University, 10 years of experience";"https://i.pinimg.com/originals/d3/f9/13/d3f913b8dd27fac04b26c2c9a903610d.png"
4;"Karl";"Oncolgist";"Consulted and treated more than 1000 patients";"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGs40bI-pJTinUuMECStqpAEDuwhJY2iHabfhawf8XjWDOv8bOYZI5L_fLd7jRfVEPO_0&usqp=CAU"
5;"Adeline";"Psychiatrist ";"Developed a patient centered-care plan to improve patient outcomes and reduce readmissions";"https://cdn-icons-png.flaticon.com/512/3349/3349600.png"
6;"Aaron";"Psychiatrist";"Established a strong relationship with patients by providing compassionate care and support";"https://static.vecteezy.com/system/resources/previews/006/032/441/original/doctor-icon-for-use-in-design-work-free-vector.jpg"
7;"Saba";"Neurologist";"Sucessfully managed a team of 10 nurses and physicians while overseeing the care of 120 patients";"https://static.vecteezy.com/system/resources/thumbnails/008/957/223/small/muslim-female-doctor-avatar-wearing-hijab-and-stethoscope-clipart-icon-in-flat-design-vector.jpg"
8;"Emily";"Dermatologist ";"Collaborated with other medical professionals to ensure best practices for patient care";"https://cdn2.vectorstock.com/i/1000x1000/30/06/female-doctor-avatar-flat-medical-icon-in-circle-vector-43633006.jpg"
9;"Jessica";"Ophthalmologist";"Developed  and implanted protocols for patient assessment, treatment and follow up and has 12 years or experience";"https://thumbs.dreamstime.com/b/female-doctor-icon-nurse-symbol-vector-illustration-faceless-woman-stethoscope-67755768.jpg"
10;"Ronaldo";"Pediatrician";"Most experienced with experience of 20 years";"https://static.vecteezy.com/system/resources/previews/008/957/222/original/male-doctor-avatar-occupation-clipart-icon-in-flat-design-vector.jpg"
